time,open,high,low,close,volume
1748438100000,2668.79,2669.0,2663.61,2664.11,1464.1408
1748438400000,2664.11,2669.3,2662.18,2666.35,1827.8845
1748438700000,2666.34,2677.11,2665.5,2673.61,2795.3918
1748439000000,2673.61,2683.41,2668.91,2683.4,4374.7482
1748439300000,2683.41,2689.14,2680.2,2686.34,6244.9338
1748439600000,2686.34,2688.6,2666.13,2671.19,6988.7354
1748439900000,2671.2,2672.0,2654.48,2663.0,7522.7994
1748440200000,2663.0,2670.0,2659.2,2669.53,3528.0156
1748440500000,2669.52,2669.53,2656.05,2657.41,5263.4285
1748440800000,2657.4,2660.39,2646.06,2649.6,6267.5704
1748441100000,2649.61,2651.59,2638.0,2638.8,4572.0988
1748441400000,2638.8,2645.25,2633.46,2633.47,6205.7059
1748441700000,2633.47,2636.33,2621.26,2627.3,10625.415
1748442000000,2627.3,2640.38,2626.13,2639.79,4885.7355
1748442300000,2639.8,2643.14,2634.52,2642.29,3326.7406
1748442600000,2642.29,2642.9,2633.02,2641.7,3823.2425
1748442900000,2641.7,2642.4,2632.7,2635.69,2309.2096
1748443200000,2635.7,2640.0,2633.41,2637.51,1814.5946
1748443500000,2637.51,2641.5,2633.99,2636.51,2470.3118
1748443800000,2636.5,2637.31,2628.99,2633.7,2214.8207
1748444100000,2633.71,2633.71,2626.75,2628.4,3632.2021
1748444400000,2628.4,2636.0,2627.3,2635.5,3427.5076
1748444700000,2635.49,2637.35,2619.24,2619.81,4464.9197
1748445000000,2619.8,2623.1,2613.2,2616.42,6747.2042
1748445300000,2616.41,2626.28,2616.01,2625.11,3730.703
1748445600000,2625.11,2633.85,2624.0,2632.79,3471.2128
1748445900000,2632.79,2634.0,2627.55,2631.27,3788.0298
1748446200000,2631.28,2631.28,2626.52,2628.99,2781.2964
1748446500000,2629.0,2638.99,2628.22,2638.07,3379.2261
1748446800000,2638.08,2640.0,2634.19,2636.6,2027.0221
1748447100000,2636.61,2638.5,2630.57,2632.16,1859.3136
1748447400000,2632.19,2634.8,2630.04,2630.04,1396.1712
1748447700000,2630.03,2631.59,2624.86,2626.9,2313.9008
1748448000000,2626.9,2632.88,2626.9,2631.29,2282.9095
1748448300000,2631.28,2636.5,2630.01,2635.36,1818.5071
1748448600000,2635.37,2635.37,2626.71,2632.94,2392.3008
1748448900000,2632.94,2641.96,2632.7,2638.3,2373.4593
1748449200000,2638.3,2639.7,2635.1,2637.9,1167.6567
1748449500000,2637.9,2643.59,2637.89,2641.9,2179.1514
1748449800000,2641.9,2641.9,2633.48,2635.59,2765.1955
1748450100000,2635.59,2641.5,2634.84,2635.5,1340.3322
1748450400000,2635.51,2637.22,2634.5,2637.22,1617.883
1748450700000,2637.22,2640.6,2635.4,2637.3,1618.5522
1748451000000,2637.3,2639.96,2635.17,2637.6,785.199
1748451300000,2637.59,2640.59,2636.34,2640.56,607.4901
